target_variant,baseline_variant,category,scenarios,target_composite_score,baseline_composite_score,delta_composite_score,target_memory_score,baseline_memory_score,delta_memory_score,target_temporal_score,baseline_temporal_score,delta_temporal_score,target_preference_score,baseline_preference_score,delta_preference_score,target_privacy_score,baseline_privacy_score,delta_privacy_score,target_crisis_score,baseline_crisis_score,delta_crisis_score,target_proactive_score,baseline_proactive_score,delta_proactive_score,target_ghost_score,baseline_ghost_score,delta_ghost_score,target_persona_score,baseline_persona_score,delta_persona_score,target_support_score,baseline_support_score,delta_support_score,target_judge_support_score,baseline_judge_support_score,delta_judge_support_score,target_judge_persona_score,baseline_judge_persona_score,delta_judge_persona_score,target_judge_privacy_score,baseline_judge_privacy_score,delta_judge_privacy_score,target_judge_crisis_score,baseline_judge_crisis_score,delta_judge_crisis_score,target_hallucinated_memory_rate,baseline_hallucinated_memory_rate,delta_hallucinated_memory_rate,target_prompt_tokens,baseline_prompt_tokens,delta_prompt_tokens,target_latency_ms,baseline_latency_ms,delta_latency_ms,target_tool_calls,baseline_tool_calls,delta_tool_calls,target_turns,baseline_turns,delta_turns
persona,rag,crisis_safety,6,0.42,0.417,0.003,0.0,0.0,0.0,,,,,,,,,,0.681,0.667,0.014,,,,,,,0.958,1.0,-0.042,0.042,0.0,0.042,0.042,0.0,0.042,0.958,1.0,-0.042,0.42,0.417,0.003,0.681,0.667,0.014,0.0,0.0,0.0,1220.0,650.5,569.5,6634.667,5023.333,1611.334,0.667,0.5,0.167,1.667,1.5,0.167
persona,rag,emotional_support,6,0.305,0.319,-0.014,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.917,0.958,-0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.917,0.958,-0.041,0.305,0.319,-0.014,0.305,0.319,-0.014,0.0,0.0,0.0,1370.167,768.0,602.167,11820.333,7844.667,3975.666,2.833,1.5,1.333,3.333,2.333,1.0
persona,rag,ghost_silence,6,0.305,0.264,0.041,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.917,0.792,0.125,,,,0.305,0.264,0.041,0.917,0.792,0.125,0.305,0.264,0.041,0.305,0.264,0.041,0.0,0.0,0.0,1285.167,617.5,667.667,9467.5,6763.667,2703.833,2.167,1.667,0.5,2.5,2.5,0.0
persona,rag,long_memory,6,0.326,0.326,0.0,0.042,0.042,0.0,,,,0.347,0.347,0.0,,,,,,,,,,,,,0.917,0.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,0.917,0.0,0.326,0.326,0.0,0.326,0.326,0.0,0.0,0.0,0.0,1365.333,744.167,621.166,12006.667,10257.0,1749.667,2.167,1.833,0.334,3.0,2.5,0.5
persona,rag,persona_consistency,6,0.265,0.422,-0.157,0.056,0.0,0.056,,,,0.241,0.352,-0.111,,,,,,,,,,,,,0.5,0.917,-0.417,,,,0.265,0.422,-0.157,0.5,0.917,-0.417,0.265,0.422,-0.157,0.265,0.422,-0.157,0.033,0.0,0.033,1291.667,582.333,709.334,14442.0,5163.167,9278.833,2.667,0.5,2.167,3.333,1.333,2.0
persona,rag,privacy_boundary,6,0.486,0.445,0.041,0.111,0.056,0.055,,,,,,,0.556,0.528,0.028,,,,,,,,,,0.792,0.75,0.042,,,,0.486,0.445,0.041,0.792,0.75,0.042,0.556,0.528,0.028,0.486,0.445,0.041,0.0,0.0,0.0,1265.333,727.167,538.166,11779.833,11976.667,-196.834,1.833,2.667,-0.834,2.5,3.167,-0.667
persona,rag,proactive_message,6,0.502,0.437,0.065,0.111,0.0,0.111,,,,0.398,0.333,0.065,,,,,,,0.542,0.5,0.042,,,,0.958,0.917,0.041,,,,0.502,0.437,0.065,0.958,0.917,0.041,0.502,0.437,0.065,0.502,0.437,0.065,0.0,0.0,0.0,1212.5,688.167,524.333,12867.167,8422.167,4445.0,1.5,1.333,0.167,2.333,2.333,0.0
persona,rag,temporal_conflict,6,0.667,0.792,-0.125,1.0,1.0,0.0,0.5,0.75,-0.25,,,,,,,,,,,,,,,,0.5,0.625,-0.125,,,,0.667,0.792,-0.125,0.5,0.625,-0.125,0.667,0.792,-0.125,0.667,0.792,-0.125,0.125,0.062,0.063,1223.0,620.167,602.833,6517.5,4730.833,1786.667,1.0,0.833,0.167,2.0,1.833,0.167
persona,rag,token_cost_tradeoff,6,0.723,0.639,0.084,0.445,0.278,0.167,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,0.723,0.639,0.084,1.0,1.0,0.0,0.723,0.639,0.084,0.723,0.639,0.084,0.0,0.0,0.0,1565.333,885.5,679.833,13802.667,13745.0,57.667,2.833,2.833,0.0,2.5,2.667,-0.167
persona,rag,user_preference,6,0.448,0.448,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.333,0.333,0.0,,,,,,,,,,,,,0.958,0.958,0.0,,,,0.448,0.448,0.0,0.958,0.958,0.0,0.448,0.448,0.0,0.448,0.448,0.0,0.0,0.0,0.0,1185.833,648.667,537.166,9034.5,9466.667,-432.167,1.5,2.0,-0.5,2.333,3.0,-0.667
